timestamp(ms),tracked,camPosX,camPosY,camPosZ,camRotX,camRotY,camRotZ,gazePosX,gazePosY,gazePosZ,gazeRotX,gazeRotY,gazeRotZ
7375.4067,True,45.32494,12.14803,141.4863,12.06931,33.44026,0.5429128,0.000345459,0.002826118,0.0401981,2.342003,182.6374,276.7929
7396.3216,True,45.31876,12.14756,141.4888,12.22887,32.05578,0.6380789,0.0002703934,0.00281926,0.04025256,2.930559,183.8307,285.1759
7419.7191,True,45.31149,12.14719,141.4919,12.38137,30.48345,0.8263597,0.0001987,0.002820877,0.04024078,2.751377,184.5682,297.8965
7440.6629,True,45.30281,12.1468,141.4954,12.58296,28.59377,1.080418,0.0001652069,0.002838898,0.04030506,3.581514,185.7231,295.9498
7463.602,True,45.29232,12.14628,141.4993,12.85476,26.15349,1.369971,0.0002490311,0.002796005,0.04016997,3.492014,187.4539,309.8444
7486.5404,True,45.28028,12.14537,141.5031,13.19868,23.15041,1.628758,0.001293732,0.003078529,0.04097749,3.930157,177.1368,107.8618
7508.4825,True,45.26651,12.14475,141.5071,13.57013,19.64619,1.957056,0.002139389,0.002988373,0.04059885,5.613467,167.3913,47.85982
7529.4264,True,45.25227,12.14425,141.5107,13.88221,15.9565,2.34869,0.002255684,0.003034378,0.04062973,6.023244,165.8243,45.86843
7552.3638,True,45.23563,12.14337,141.5141,14.21872,11.66324,2.688309,0.001954285,0.002994568,0.04041723,6.313237,169.8757,63.81129
7574.3058,True,45.21882,12.1424,141.5164,14.38732,7.349297,2.769428,0.001666321,0.003171829,0.04078433,5.902382,173.958,88.65796
7596.2471,True,45.20136,12.14152,141.5176,14.54156,3.220711,2.712487,0.001079864,0.003262138,0.04094779,6.574492,177.6532,140.7464
7619.1859,True,45.18345,12.14032,141.5176,14.92745,359.195,2.747874,0.0005271378,0.003201668,0.04090182,5.981369,181.8345,214.0756
7641.1277,True,45.16494,12.13902,141.5166,15.4487,354.8647,2.877262,0.0002506638,0.00317363,0.0409329,6.344469,185.201,258.6693
7664.0659,True,45.14626,12.13796,141.5144,15.76451,350.3103,2.977769,-0.0001656723,0.003082397,0.04073122,6.581772,190.6443,296.6314
7687.0042,True,45.12726,12.13669,141.511,16.05253,345.7853,2.931045,-0.0006945648,0.003055817,0.04085866,5.987148,195.2513,317.3286
7709.9429,True,45.10866,12.13524,141.5061,16.55026,341.1758,2.986061,-0.0008377914,0.003039864,0.04092161,5.165849,198.8476,329.5894
7730.4097,True,45.08985,12.13374,141.5001,16.96099,336.2436,3.093374,-7.06253E-05,0.002998093,0.04051916,7.252232,188.6347,279.978
7752.3511,True,45.07113,12.13212,141.4927,17.25075,330.9036,3.305902,0.0009721069,0.003407356,0.04161135,5.544436,177.6546,134.1674
7774.2926,True,45.05234,12.1304,141.4844,17.65931,325.4079,3.458454,0.001627388,0.003090469,0.04095653,5.555069,170.7491,61.89846
7796.234,True,45.03379,12.12871,141.474,18.03901,319.5196,3.439089,0.002433449,0.002923302,0.04094853,5.090981,162.1014,31.52911
7818.1756,True,45.0351,12.12889,141.4701,17.9094,318.9525,3.31737,0.002995613,0.002903778,0.04116538,5.158242,155.5055,23.44621
7840.1164,True,45.02714,12.12833,141.4633,17.97599,315.8986,3.174037,0.003184952,0.002866051,0.04124518,3.191879,151.9234,12.71639
7860.0631,True,45.01958,12.12763,141.4567,18.11628,312.9628,3.048817,0.003313492,0.002744247,0.04135898,2.612519,148.2952,9.1822
7879.0128,True,44.99611,12.12552,141.4377,18.55087,304.1671,2.66119,0.002938576,0.002743278,0.0411656,2.69541,152.5583,11.00761
7898.9595,True,44.98276,12.12435,141.4234,18.88665,298.3162,2.343457,0.002480804,0.002772941,0.04098169,3.501744,158.6744,18.44347
7923.8924,True,44.9719,12.12312,141.4083,19.2636,292.6416,2.005351,0.001773193,0.002604805,0.04022177,4.392524,165.6257,33.83167
7943.8392,True,44.96169,12.12206,141.3935,19.62222,287.159,1.626366,0.001067917,0.002872475,0.04077514,4.949281,172.453,66.46978
7962.1952,True,44.95292,12.1211,141.3786,19.97489,281.7867,1.271159,0.0006565094,0.002994827,0.04103648,4.1906,176.7178,103.872
7980.1471,True,44.9455,12.11998,141.3635,20.36051,276.4514,0.9801534,0.0003199615,0.002932564,0.04081259,4.363619,181.4012,215.59
7998.0996,True,44.94871,12.11987,141.3629,20.43236,276.508,1.059479,0.0005844116,0.002948425,0.0412407,3.475313,179.6541,168.6344
8020.0405,True,44.93951,12.11765,141.3402,21.04264,268.3988,0.5927036,0.00131691,0.002618149,0.04090578,1.161257,170.6746,14.16602
8049.9605,True,44.94271,12.11752,141.3403,21.09006,268.4547,0.6629472,0.002275848,0.002266556,0.04100273,357.7731,159.7674,347.5664
8069.907,True,44.93495,12.11359,141.3036,22.12072,255.0764,359.9182,0.002873253,0.00201973,0.04124909,353.5919,152.6909,334.0473
8089.8537,True,44.93595,12.11277,141.2975,22.35352,252.5151,359.8007,0.003169121,0.001865685,0.0414429,349.7044,147.2871,325.8717
8108.8032,True,44.93554,12.10946,141.2705,23.11204,242.0883,359.1002,0.003371887,0.001791916,0.04157354,349.7267,145.3431,327.8557
8127.7674,True,44.93826,12.10891,141.2659,23.21862,239.7346,358.9228,0.002895187,0.001901993,0.04126906,351.1279,151.6191,325.8876
8147.7233,True,44.9414,12.10741,141.2554,23.48777,234.9923,358.4716,0.002525726,0.001978027,0.04109298,352.5865,156.1206,325.9324
8166.6664,True,44.94558,12.10604,141.2467,23.80049,230.5802,358.0551,0.002155777,0.002040993,0.04096131,353.9375,159.8309,326.8378
8185.6159,True,44.95065,12.10486,141.2397,24.08063,226.4421,357.7119,0.001654861,0.00208194,0.04065507,355.8029,165.1843,328.5206
8207.5571,True,44.95657,12.1037,141.2346,24.30119,222.579,357.3901,0.001364029,0.002116753,0.04047719,355.4542,168.3906,317.346
8229.5026,True,44.96283,12.1027,141.231,24.56115,218.9498,357.1584,0.0009370651,0.002179047,0.04041494,356.4732,172.7768,307.9973
8251.4433,True,44.96949,12.10166,141.2287,24.71343,215.5386,357.0652,0.0005615158,0.002273476,0.04049493,355.375,180.006,179.8509
8274.3824,True,44.97638,12.10042,141.2281,24.68131,212.4216,357.0243,0.0003010254,0.002325653,0.04050536,356.218,181.7298,130.8553
8296.8584,True,44.98322,12.09918,141.2294,24.80453,209.5217,356.9986,0.000676529,0.002370323,0.0409297,355.9813,175.9239,270.8137
8320.7948,True,44.9907,12.09802,141.2316,25.11016,206.7186,356.9102,0.001609383,0.002107567,0.04073128,356.1544,166.4062,328.5385
8340.7107,True,44.99841,12.09724,141.2345,25.28129,204.003,356.7292,0.00165136,0.00213517,0.04073463,356.0819,165.942,328.9904
8362.6517,True,45.00579,12.09698,141.2381,25.3166,201.4567,356.5204,0.001378227,0.002136162,0.04028078,356.1016,169.0423,320.9288
8384.5932,True,45.01245,12.09802,141.2424,25.5304,199.0547,356.4438,0.001102936,0.002421989,0.04081805,355.9619,172.3818,304.1975
8407.5317,True,45.01888,12.0997,141.2475,25.64239,196.9244,356.4214,0.0009385376,0.002425323,0.04066052,356.3804,173.9953,297.8674
8429.476,True,45.02493,12.10113,141.2524,25.45482,194.8474,356.5146,0.0007252732,0.00244294,0.04046296,353.301,178.4711,205.6857
8451.4172,True,45.03079,12.10227,141.2575,25.16702,192.8624,356.6919,0.0005212097,0.002533996,0.04070646,354.8716,181.9863,137.6785
8474.3562,True,45.03627,12.10265,141.2632,25.01248,191.0015,356.7487,0.0005875244,0.002539757,0.04079056,355.6385,183.8389,97.29917
8497.0753,True,45.04136,12.1029,141.269,24.91638,189.1474,356.9428,0.00160025,0.002585037,0.04053253,0.6129406,167.5622,5.620466
8517.9562,True,45.04654,12.10299,141.2746,24.79534,187.2361,357.1228,0.002010422,0.002765617,0.04074807,2.34686,163.49,16.07207
