timestamp,ticksSince1970 (100ns),actionId,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z
31.57542,16394916163559432,5,0.268194,1.248425,-0.2106424,4.523691,258.9382,5.703313
31.57542,16394916163559432,6,0.2850416,1.15251,-0.1846704,1.490041,281.3867,5.667186
31.58753,16394916163679099,0,0.7584497,1.21627,-0.1830469,4.553023,267.8883,1.258761
31.58753,16394916163679099,2,0.4795288,1.181308,-0.4198392,333.4301,265.3319,20.30758
31.58753,16394916163679099,3,0.3574814,1.262859,-0.1131201,340.1649,257.5712,354.6526
31.58753,16394916163679099,4,0.2787124,1.051108,-0.1960863,1.182048,257.1773,1.134457
31.58753,16394916163679099,5,0.2703246,1.248047,-0.2065974,3.592223,258.9396,4.431438
31.58753,16394916163679099,6,0.2859994,1.151279,-0.1830931,1.149185,281.4395,4.136805
31.6005,16394916163808759,0,0.7588577,1.216134,-0.1835957,4.660255,267.8643,1.283415
31.6005,16394916163808759,2,0.4801082,1.179718,-0.4202255,333.4881,265.4969,20.30462
31.6005,16394916163808759,3,0.3609549,1.258397,-0.1107211,339.8799,257.392,355.3952
31.61254,16394916163928434,0,0.7592469,1.21609,-0.1840898,4.750374,267.8427,1.343596
31.61254,16394916163928434,2,0.4806207,1.178061,-0.4207392,333.5336,265.5612,20.28891
31.61254,16394916163928434,3,0.3640838,1.25421,-0.1083199,339.4903,257.2939,355.942
31.61254,16394916163928434,4,0.278824,1.050203,-0.1955053,0.8882765,257.1812,0.4883614
31.61254,16394916163938410,5,0.2726201,1.247663,-0.2019185,2.710336,258.9972,3.155269
31.61254,16394916163938410,6,0.2871112,1.150025,-0.1809354,0.8146658,281.5423,2.9366
31.62563,16394916164058091,0,0.7596263,1.216007,-0.1844599,4.789243,267.819,1.455728
31.62563,16394916164058091,2,0.4807359,1.177008,-0.4211498,333.5213,265.462,20.30792
31.62563,16394916164058091,3,0.3663888,1.249976,-0.1062604,339.222,257.2006,356.0772
31.63776,16394916164187737,0,0.7598869,1.216028,-0.1848199,4.740432,267.7733,1.669756
31.63776,16394916164187737,2,0.4811884,1.174737,-0.4220257,333.5377,265.2863,20.32969
31.63776,16394916164187737,3,0.3674788,1.245097,-0.1052229,339.2855,256.9417,355.9088
31.63776,16394916164187737,4,0.2790332,1.049907,-0.1951161,0.5551819,257.1677,0.09284385
31.63776,16394916164187737,5,0.2748564,1.247407,-0.1969128,1.939674,259.0974,2.047796
31.63776,16394916164187737,6,0.2883701,1.149358,-0.1782251,0.5941812,281.592,1.684231
31.64996,16394916164307428,0,0.7601881,1.216078,-0.1850944,4.632835,267.6909,1.884382
31.64996,16394916164307428,2,0.4808727,1.172915,-0.4225978,333.722,265.0867,20.32859
31.64996,16394916164307428,3,0.3677248,1.239444,-0.1049173,339.8093,256.547,355.8354
31.64996,16394916164307428,4,0.2794448,1.04998,-0.1946309,0.1420715,257.2042,359.856
31.64996,16394916164307428,5,0.2769639,1.247503,-0.1917803,1.155312,259.1155,0.6632857
31.64996,16394916164307428,6,0.2895364,1.148906,-0.1759939,0.4241879,281.5975,0.174663
31.6624,16394916164427101,0,0.7604675,1.216083,-0.1854149,4.524968,267.5991,2.080037
31.6624,16394916164427101,2,0.4801051,1.171019,-0.4229333,334.0735,264.9636,20.31966
31.6624,16394916164427101,3,0.3668761,1.232702,-0.1056657,340.9825,255.9363,355.7889
31.6756,16394916164566727,0,0.7608587,1.21596,-0.1856786,4.437692,267.4863,2.211758
31.6756,16394916164566727,2,0.479048,1.169176,-0.422817,334.507,265.0653,20.26346
31.6756,16394916164566727,3,0.3655568,1.225618,-0.1072312,342.2167,255.1675,356.0745
31.6756,16394916164566727,4,0.2797474,1.050088,-0.1944564,359.8132,257.2159,359.7911
31.6756,16394916164566727,5,0.2788909,1.247638,-0.1870096,0.477259,259.1284,359.3647
31.6756,16394916164566727,6,0.2906709,1.148657,-0.1738924,0.2291214,281.5843,359.0318
31.68811,16394916164686411,0,0.7613916,1.215712,-0.185861,4.465504,267.3766,2.271061
31.68811,16394916164686411,2,0.4782471,1.16753,-0.422554,334.7728,265.2769,20.24352
31.68811,16394916164686411,3,0.3639238,1.218026,-0.109663,343.5075,254.3088,356.9202
31.68811,16394916164686411,4,0.2798218,1.050171,-0.1943933,359.5963,257.2196,359.7703
31.68811,16394916164686411,5,0.2808863,1.247842,-0.1827583,359.5607,259.1234,358.1051
31.68811,16394916164686411,6,0.2914967,1.148406,-0.1721973,359.7753,281.551,357.8035
31.70026,16394916164806086,0,0.7619225,1.215519,-0.1860659,4.584005,267.3026,2.276207
31.70026,16394916164806086,2,0.4775631,1.165975,-0.4224062,334.9532,265.3727,20.33406
31.70026,16394916164806086,3,0.3622385,1.211226,-0.1122115,344.6205,253.4256,358.0668
31.71244,16394916164935739,0,0.7623736,1.215458,-0.1861116,4.660151,267.2033,2.307574
31.71244,16394916164935739,2,0.4768735,1.164416,-0.4224248,335.1439,265.2794,20.46997
31.71244,16394916164935739,3,0.3604848,1.20519,-0.1146635,345.545,252.6873,359.4668
